pair,direction_id,bestchange_from,bestchange_to,bestchange_from_id,bestchange_to_id,baseline,baseline_source,baseline_age_seconds,api_rate,xml_rate,family,target_premium_percent,hard_max_premium_percent,raw_market_deviation_percent,unexplained_deviation_percent,classification,reserve,quote_allowed,order_allowed,export_allowed,BestChange_allowed,xml_parity_ok
BTC→SBERRUB,14,BTC,SBERRUB,93,42,5116291.991089500000000000,parser_exchange:[binance_btc-usdt]+median*parser_exchange:[russiancentralbank_usd-rub],56,5399787.527756413083441325,5399787.527800000000000000,SBERRUB,5,8,5.541035,0.5410349999999999,PASS,100000000,True,True,True,True,True
USDTTRC20→SBERRUB,15,USDTTRC20,SBERRUB,10,42,78.315900000000000000,parser_exchange:[russiancentralbank_usd-rub],56,81.953155889005893989,81.953200000000000000,SBERRUB,5,8,4.644339,-0.35566099999999956,PASS_EXPLAINED_SPREAD,100000000,True,True,True,True,True
BTC→SBPRUB,20,BTC,SBPRUB,93,21,5116291.991089500000000000,parser_exchange:[binance_btc-usdt]+median*parser_exchange:[russiancentralbank_usd-rub],56,5316745.088656724353350878,5316745.090000000000000000,SBPRUB,5,8,3.917937,-1.0820630000000002,PASS_EXPLAINED_SPREAD,10000000,True,True,True,True,True
BTC→ACRUB,21,BTC,ACRUB,93,52,5116291.991089500000000000,parser_exchange:[binance_btc-usdt]+median*parser_exchange:[russiancentralbank_usd-rub],56,5297847.567656489504844502,5297847.567700000000000000,ACRUB,5,8,3.548577,-1.4514230000000001,PASS_EXPLAINED_SPREAD,10000000,True,True,True,True,True
USDTTRC20→ACRUB,25,USDTTRC20,ACRUB,10,52,78.315900000000000000,parser_exchange:[russiancentralbank_usd-rub],56,81.265470007053842796,81.265500000000000000,ACRUB,5,8,3.766246,-1.2337539999999998,PASS_EXPLAINED_SPREAD,10000000,True,True,True,True,True
USDTTRC20→RFBRUB,26,USDTTRC20,RFBRUB,10,157,78.315900000000000000,parser_exchange:[russiancentralbank_usd-rub],56,82.500753028312608424,82.500800000000000000,RFBRUB,5,8,5.343554,0.34355400000000014,PASS,10000000,True,True,True,True,True
USDTTRC20→TCSBRUB,27,USDTTRC20,TCSBRUB,10,105,78.315900000000000000,parser_exchange:[russiancentralbank_usd-rub],56,81.921510028113823811,81.921500000000000000,TCSBRUB,6,9,4.603931,-1.3960689999999998,PASS_EXPLAINED_SPREAD,96679070,True,True,True,True,True
USDTTRC20→TBRUB,28,USDTTRC20,TBRUB,10,51,78.315900000000000000,parser_exchange:[russiancentralbank_usd-rub],56,82.500753028312608424,82.500800000000000000,TBRUB,6,9,5.343554,-0.6564459999999999,PASS_EXPLAINED_SPREAD,10000000,True,True,True,True,True
USDTERC20→SBERRUB,108,USDTERC20,SBERRUB,36,42,78.315900000000000000,parser_exchange:[russiancentralbank_usd-rub],56,81.953288994468234946,81.953300000000000000,SBERRUB,5,8,4.644508,-0.3554919999999999,PASS_EXPLAINED_SPREAD,100000000,True,True,True,True,True
USDTERC20→SBPRUB,109,USDTERC20,SBPRUB,36,21,78.315900000000000000,parser_exchange:[russiancentralbank_usd-rub],56,81.110699971805920689,81.110000000000000000,SBPRUB,5,8,3.568623,-1.431377,PASS_EXPLAINED_SPREAD,10000000,True,True,True,True,True
USDTERC20→ACRUB,110,USDTERC20,ACRUB,36,52,78.315900000000000000,parser_exchange:[russiancentralbank_usd-rub],57,81.275938518777992836,81.275900000000000000,ACRUB,5,8,3.779613,-1.220387,PASS_EXPLAINED_SPREAD,10000000,True,True,True,True,True
USDTERC20→TCSBRUB,111,USDTERC20,TCSBRUB,36,105,78.315900000000000000,parser_exchange:[russiancentralbank_usd-rub],57,82.500753028312608424,82.500800000000000000,TCSBRUB,6,9,5.343554,-0.6564459999999999,PASS_EXPLAINED_SPREAD,96679070,True,True,True,True,True
LTC→SBPRUB,160,LTC,SBPRUB,99,21,3717.655773000000000000,parser_exchange:[binance_ltc-usdt]*parser_exchange:[russiancentralbank_usd-rub],57,3919.423000042238053902,3919.420000000000000000,SBPRUB,5,8,5.42727,0.42727000000000004,PASS,10000000,True,True,True,True,True
ETH→SBPRUB,161,ETH,SBPRUB,139,21,149369.566593000000000000,parser_exchange:[binance_eth-usdt]+median*parser_exchange:[russiancentralbank_usd-rub],57,156132.175000509779357985,156132.180000000000000000,SBPRUB,5,8,4.527433,-0.47256699999999974,PASS_EXPLAINED_SPREAD,10000000,True,True,True,True,True
TRX→SBERRUB,168,TRX,SBERRUB,185,42,25.585882845900000000,parser_exchange:[binance_trx-usdt]+median*parser_exchange:[russiancentralbank_usd-rub],57,27.059900000567094324,27.059900000000000000,SBERRUB,5,8,5.761056,0.761056,PASS,100000000,True,True,True,True,True
BTC→RFBRUB,187,BTC,RFBRUB,93,157,5116291.991089500000000000,parser_exchange:[binance_btc-usdt]+median*parser_exchange:[russiancentralbank_usd-rub],57,5399787.527756413083441325,5399787.527800000000000000,RFBRUB,5,8,5.541035,0.5410349999999999,PASS,10000000,True,True,True,True,True
BTC→TCSBRUB,212,BTC,TCSBRUB,93,105,5116291.991089500000000000,parser_exchange:[binance_btc-usdt]+median*parser_exchange:[russiancentralbank_usd-rub],57,5399787.527756413083441325,5399787.527800000000000000,TCSBRUB,6,9,5.541035,-0.45896500000000007,PASS_EXPLAINED_SPREAD,96679070,True,True,True,True,True
BTC→TBRUB,214,BTC,TBRUB,93,51,5116291.991089500000000000,parser_exchange:[binance_btc-usdt]+median*parser_exchange:[russiancentralbank_usd-rub],57,5392609.134528964942883134,5392609.134500000000000000,TBRUB,6,9,5.40073,-0.5992699999999997,PASS_EXPLAINED_SPREAD,10000000,True,True,True,True,True
LTC→SBERRUB,223,LTC,SBERRUB,99,42,3717.655773000000000000,parser_exchange:[binance_ltc-usdt]*parser_exchange:[russiancentralbank_usd-rub],57,3919.471000349870794952,3919.471000000000000000,SBERRUB,5,8,5.428561,0.4285610000000002,PASS,100000000,True,True,True,True,True
