direction_id,from,to,classification,raw_dev,course,baseline,family_key
21,BTC,ACRUB,PASS,5.627279,5338519.492903514579714546,5054110.569205500000000000,ACRUB
27,USDTTRC20,TCSBRUB,PASS,6.466163,83.468087994543858024,78.398700000000000000,TCSBRUB
28,USDTTRC20,TBRUB,PASS,6.482383,83.480804015731122708,78.398700000000000000,TCSBRUB
110,USDTERC20,ACRUB,PASS,5.951446,83.064556521111272362,78.398700000000000000,ACRUB
168,TRX,SBERRUB,PASS,5.348734,26.893000012179032915,25.527596703750000000,SBERRUB
187,BTC,RFBRUB,PASS,5.219171,5317893.245798881884866594,5054110.569205500000000000,RFBRUB
214,BTC,TBRUB,PASS_EXPLAINED_SPREAD,5.013449,5307495.8631851337274402,5054110.569205500000000000,TCSBRUB
226,LTC,RFBRUB,PASS,5.343815,3865.126899314903358251,3669.059160000000000000,RFBRUB
325,BNBBEP20,SBERRUB,PASS_EXPLAINED_SPREAD,4.953662,46677.929995160983017675,44474.798523000000000000,SBERRUB
326,BNBBEP20,SBPRUB,PASS,5.180206,46778.685004582306663796,44474.798523000000000000,SBPRUB
374,ETH,ACRUB,PASS,5.701534,154735.618890225984473275,146389.188588000000000000,ACRUB
375,ETH,TCSBRUB,PASS,6.967835,156589.347000389321360105,146389.188588000000000000,TCSBRUB
376,ETH,RFBRUB,PASS,5.403767,154299.719390561176269322,146389.188588000000000000,RFBRUB
541,ZEC,SBPRUB,PASS_EXPLAINED_SPREAD,3.783711,43263.440469397322873705,41686.156764000000000000,SBPRUB
542,ZEC,ACRUB,PASS_EXPLAINED_SPREAD,3.783711,43263.440469397322873705,41686.156764000000000000,ACRUB
1011,BNBBEP20,TBRUB,PASS_EXPLAINED_SPREAD,4.21364,46348.806618852823709318,44474.798523000000000000,TCSBRUB
1059,USDTBEP20,TBRUB,PASS,6.092173,83.17488455257198346,78.398700000000000000,TCSBRUB
1071,USDTERC20,TBRUB,PASS,6.092173,83.17488455257198346,78.398700000000000000,TCSBRUB
1076,USDTSOL,SBPRUB,PASS_EXPLAINED_SPREAD,4.815537,82.174019005705999532,78.398700000000000000,SBPRUB
1077,USDTSOL,ACRUB,PASS_EXPLAINED_SPREAD,4.184794,81.67952409698096143,78.398700000000000000,ACRUB
1079,USDTSOL,TCSBRUB,PASS_EXPLAINED_SPREAD,5.04885,82.356933498292905483,78.398700000000000000,TCSBRUB
1080,USDTSOL,TBRUB,PASS_EXPLAINED_SPREAD,3.257101,80.952224996559530438,78.398700000000000000,TCSBRUB
1112,USDTTON,SBERRUB,PASS_EXPLAINED_SPREAD,4.512473,81.936420920939983338,78.398700000000000000,SBERRUB
1113,USDTTON,SBPRUB,PASS_EXPLAINED_SPREAD,4.51262,81.936535494938370519,78.398700000000000000,SBPRUB
1114,USDTTON,ACRUB,PASS_EXPLAINED_SPREAD,3.131771,80.853967820680628751,78.398700000000000000,ACRUB
1115,USDTTON,RFBRUB,PASS_EXPLAINED_SPREAD,4.512473,81.936420920939983338,78.398700000000000000,RFBRUB
1116,USDTTON,TCSBRUB,PASS_EXPLAINED_SPREAD,4.512745,81.936633983848650709,78.398700000000000000,TCSBRUB
1117,USDTTON,TBRUB,PASS_EXPLAINED_SPREAD,4.512473,81.936420920939983338,78.398700000000000000,TCSBRUB
1157,USDCERC20,SBERRUB,PASS,5.395507,82.628707978602847703,78.398700000000000000,SBERRUB
1158,USDCERC20,SBPRUB,PASS,5.395507,82.628707978602847703,78.398700000000000000,SBPRUB
1159,USDCERC20,ACRUB,PASS,5.014072,82.329667795215658345,78.398700000000000000,ACRUB
1160,USDCERC20,RFBRUB,PASS,5.395507,82.628707978602847703,78.398700000000000000,RFBRUB
1161,USDCERC20,TCSBRUB,PASS_EXPLAINED_SPREAD,5.395507,82.628707978602847703,78.398700000000000000,TCSBRUB
1162,USDCERC20,TBRUB,PASS_EXPLAINED_SPREAD,5.395507,82.628707978602847703,78.398700000000000000,TCSBRUB
1305,USDTTRC20,CARDRUB,PASS_EXPLAINED_SPREAD,1.237265,79.368700023278839717,78.398700000000000000,CARDRUB
1306,USDTERC20,CARDRUB,PASS_EXPLAINED_SPREAD,0.798832,79.024974492277141291,78.398700000000000000,CARDRUB
1307,USDTBEP20,CARDRUB,PASS_EXPLAINED_SPREAD,0.799094,79.025179984422556522,78.398700000000000000,CARDRUB
1415,USDTTRC20,YAMRUB,PASS_EXPLAINED_SPREAD,4.933136,82.2662149682978914,78.398700000000000000,YAMRUB
1416,USDTERC20,YAMRUB,PASS_EXPLAINED_SPREAD,4.725579,82.103493025010694459,78.398700000000000000,YAMRUB
1417,USDTBEP20,YAMRUB,PASS_EXPLAINED_SPREAD,4.717161,82.096893482472066951,78.398700000000000000,YAMRUB
1418,USDTTON,YAMRUB,PASS_EXPLAINED_SPREAD,4.933136,82.2662149682978914,78.398700000000000000,YAMRUB
1419,BTC,YAMRUB,PASS_EXPLAINED_SPREAD,4.690231,5291160.03923932750955948,5054110.569205500000000000,YAMRUB
1422,BNBBEP20,YAMRUB,PASS_EXPLAINED_SPREAD,3.898459,46208.630395140626493838,44474.798523000000000000,YAMRUB
1423,ETH,YAMRUB,PASS_EXPLAINED_SPREAD,4.283639,152659.974197508863520538,146389.188588000000000000,YAMRUB
1428,USDCERC20,YAMRUB,PASS_EXPLAINED_SPREAD,2.454512,80.323005924902059589,78.398700000000000000,YAMRUB
1973,BTC,CARDRUB,PASS_EXPLAINED_SPREAD,2.051768,5157809.197913298470630003,5054110.569205500000000000,CARDRUB
