direction_id,pair,from,to,classification,api_rate,xml_rate,xml_amount_reserve,reserve,reserve_source,in_canonical_xml,order_eligible,export_eligible,reasons
14,BTC->SBERRUB,BTC,SBERRUB,READY_FOR_BESTCHANGE_REVIEW,5470550.297413961572817478,5470550.2973999996,100000000,100000000,currency2_effective_reserve,True,True,True,
15,USDTTRC20->SBERRUB,USDTTRC20,SBERRUB,READY_FOR_BESTCHANGE_REVIEW,83.358494968738897216,83.3585000000,100000000,100000000,currency2_effective_reserve,True,True,True,
20,BTC->SBPRUB,BTC,SBPRUB,READY_FOR_BESTCHANGE_REVIEW,5387060.281204546678877336,5387060.2800000003,10000000,10000000,currency2_effective_reserve,True,True,True,
21,BTC->ACRUB,BTC,ACRUB,READY_FOR_BESTCHANGE_REVIEW,5350340.28164191242563027,5350340.2816000003,10000000,10000000,currency2_effective_reserve,True,True,True,
25,USDTTRC20->ACRUB,USDTTRC20,ACRUB,READY_FOR_BESTCHANGE_REVIEW,83.63842967259411211,83.6384000000,10000000,10000000,currency2_effective_reserve,True,True,True,
26,USDTTRC20->RFBRUB,USDTTRC20,RFBRUB,READY_FOR_BESTCHANGE_REVIEW,83.768637998925902896,83.7686000000,10000000,10000000,currency2_effective_reserve,True,True,True,
27,USDTTRC20->TCSBRUB,USDTTRC20,TCSBRUB,READY_FOR_BESTCHANGE_REVIEW,83.681433020771572667,83.6814000000,96679070,96679070,currency2_effective_reserve,True,True,True,
28,USDTTRC20->TBRUB,USDTTRC20,TBRUB,READY_FOR_BESTCHANGE_REVIEW,83.638230265951963756,83.6382000000,10000000,10000000,currency2_effective_reserve,True,True,True,
160,LTC->SBPRUB,LTC,SBPRUB,READY_FOR_BESTCHANGE_REVIEW,3916.9971001354123524,3917.0000000000,10000000,10000000,currency2_effective_reserve,True,True,True,
161,ETH->SBPRUB,ETH,SBPRUB,READY_FOR_BESTCHANGE_REVIEW,157023.169993356222488813,157023.1700000000,10000000,10000000,currency2_effective_reserve,True,True,True,
168,TRX->SBERRUB,TRX,SBERRUB,READY_FOR_BESTCHANGE_REVIEW,27.211300001721250781,27.2113000000,100000000,100000000,currency2_effective_reserve,True,True,True,
187,BTC->RFBRUB,BTC,RFBRUB,READY_FOR_BESTCHANGE_REVIEW,5424624.009654060139907475,5424624.0097000003,10000000,10000000,currency2_effective_reserve,True,True,True,
212,BTC->TCSBRUB,BTC,TCSBRUB,READY_FOR_BESTCHANGE_REVIEW,5470550.037049765122672683,5470550.0369999995,96679070,96679070,currency2_effective_reserve,True,True,True,
214,BTC->TBRUB,BTC,TBRUB,READY_FOR_BESTCHANGE_REVIEW,5460682.501152605367907034,5460682.5011999998,10000000,10000000,currency2_effective_reserve,True,True,True,
223,LTC->SBERRUB,LTC,SBERRUB,READY_FOR_BESTCHANGE_REVIEW,3922.219608237174203622,3922.2196000000,100000000,100000000,currency2_effective_reserve,True,True,True,
224,LTC->ACRUB,LTC,ACRUB,READY_FOR_BESTCHANGE_REVIEW,3904.275799891569359288,3904.2757000000,10000000,10000000,currency2_effective_reserve,True,True,True,
225,LTC->TCSBRUB,LTC,TCSBRUB,READY_FOR_BESTCHANGE_REVIEW,3927.901299290792006891,3927.9013000000,96679070,96679070,currency2_effective_reserve,True,True,True,
226,LTC->RFBRUB,LTC,RFBRUB,READY_FOR_BESTCHANGE_REVIEW,3916.9971001354123524,3916.9971000000,10000000,10000000,currency2_effective_reserve,True,True,True,
268,USDTTRC20->SBPRUB,USDTTRC20,SBPRUB,READY_FOR_BESTCHANGE_REVIEW,84.246699374868872589,84.2500000000,10000000,10000000,currency2_effective_reserve,True,True,True,
325,BNBBEP20->SBERRUB,BNBBEP20,SBERRUB,READY_FOR_BESTCHANGE_REVIEW,47026.376391944178193902,47026.3763000000,100000000,100000000,currency2_effective_reserve,True,True,True,
326,BNBBEP20->SBPRUB,BNBBEP20,SBPRUB,READY_FOR_BESTCHANGE_REVIEW,47728.719990062575034261,47728.7200000000,10000000,10000000,currency2_effective_reserve,True,True,True,
373,ETH->SBERRUB,ETH,SBERRUB,READY_FOR_BESTCHANGE_REVIEW,156391.339210406633530826,156391.3391000000,100000000,100000000,currency2_effective_reserve,True,True,True,
374,ETH->ACRUB,ETH,ACRUB,READY_FOR_BESTCHANGE_REVIEW,156391.33908811537872633,156391.3390000000,10000000,10000000,currency2_effective_reserve,True,True,True,
375,ETH->TCSBRUB,ETH,TCSBRUB,READY_FOR_BESTCHANGE_REVIEW,157105.786591626348736956,157105.7865000000,96679070,96679070,currency2_effective_reserve,True,True,True,
376,ETH->RFBRUB,ETH,RFBRUB,READY_FOR_BESTCHANGE_REVIEW,157034.58408983213131415,157034.5841000000,10000000,10000000,currency2_effective_reserve,True,True,True,
1011,BNBBEP20->TBRUB,BNBBEP20,TBRUB,READY_FOR_BESTCHANGE_REVIEW,47744.756995093060769235,47744.7570000000,10000000,10000000,currency2_effective_reserve,True,True,True,
1029,USDTBEP20->SBPRUB,USDTBEP20,SBPRUB,READY_FOR_BESTCHANGE_REVIEW,83.736015976979964375,83.7400000000,10000000,10000000,currency2_effective_reserve,True,True,True,
1030,USDTBEP20->TCSBRUB,USDTBEP20,TCSBRUB,READY_FOR_BESTCHANGE_REVIEW,84.142413203313528232,84.1424000000,96679070,96679070,currency2_effective_reserve,True,True,True,
1056,USDTBEP20->SBERRUB,USDTBEP20,SBERRUB,READY_FOR_BESTCHANGE_REVIEW,83.941717065002767496,83.9416000000,100000000,100000000,currency2_effective_reserve,True,True,True,
1057,USDTBEP20->ACRUB,USDTBEP20,ACRUB,READY_FOR_BESTCHANGE_REVIEW,83.638329969154183907,83.6383000000,10000000,10000000,currency2_effective_reserve,True,True,True,
1058,USDTBEP20->RFBRUB,USDTBEP20,RFBRUB,READY_FOR_BESTCHANGE_REVIEW,83.768138493781031973,83.7680000000,10000000,10000000,currency2_effective_reserve,True,True,True,
1059,USDTBEP20->TBRUB,USDTBEP20,TBRUB,READY_FOR_BESTCHANGE_REVIEW,83.624372009693737204,83.6244000000,10000000,10000000,currency2_effective_reserve,True,True,True,
1305,USDTTRC20->CARDRUB,USDTTRC20,CARDRUB,READY_FOR_BESTCHANGE_REVIEW,79.932782487024202205,79.9328000000,241092.4551,241092.4551,currency2_effective_reserve,True,True,True,
1307,USDTBEP20->CARDRUB,USDTBEP20,CARDRUB,READY_FOR_BESTCHANGE_REVIEW,79.934432561639449826,79.9344000000,241092.4551,241092.4551,currency2_effective_reserve,True,True,True,
1415,USDTTRC20->YAMRUB,USDTTRC20,YAMRUB,READY_FOR_BESTCHANGE_REVIEW,82.341173533577660132,82.3412000000,9442843.445,9442843.445,currency2_effective_reserve,True,True,True,
1417,USDTBEP20->YAMRUB,USDTBEP20,YAMRUB,READY_FOR_BESTCHANGE_REVIEW,82.096006972823102044,82.0960000000,9442843.445,9442843.445,currency2_effective_reserve,True,True,True,
1419,BTC->YAMRUB,BTC,YAMRUB,READY_FOR_BESTCHANGE_REVIEW,5319941.267848402953631391,5319941.2677999996,9442843.445,9442843.445,currency2_effective_reserve,True,True,True,
1420,LTC->YAMRUB,LTC,YAMRUB,READY_FOR_BESTCHANGE_REVIEW,3875.233100502559914657,3875.2331000000,9442843.445,9442843.445,currency2_effective_reserve,True,True,True,
1422,BNBBEP20->YAMRUB,BNBBEP20,YAMRUB,READY_FOR_BESTCHANGE_REVIEW,46647.079613913280017083,46647.0796000000,9442843.445,9442843.445,currency2_effective_reserve,True,True,True,
1423,ETH->YAMRUB,ETH,YAMRUB,READY_FOR_BESTCHANGE_REVIEW,153788.802500048844092618,153788.8025000000,9442843.445,9442843.445,currency2_effective_reserve,True,True,True,
1973,BTC->CARDRUB,BTC,CARDRUB,READY_FOR_BESTCHANGE_REVIEW,5136636.758295937235478256,5136326.6704000002,241092.4551,241092.4551,currency2_effective_reserve,True,True,True,
